Distriktkod;Distriktnamn; Arbetarepartiet-Socialdemokraterna; Sverigedemokraterna; Moderaterna; Vänsterpartiet; Centerpartiet; Kristdemokraterna; Miljöpartiet de gröna;Liberalerna
Blekinge län;Dummy;31,14%;28,53%;17,86%;4,44%;4,84%;5,54%;2,91%;3,51%
Karlshamn;Dummy;31,74%;28,79%;17,78%;4,60%;4,72%;4,91%;3,29%;3,05%
10820000;Uppsamlingsdistrikt;35,07%;20,34%;20,71%;5,22%;4,66%;3,92%;3,92%;3,17%
10820101;Högadal;34,87%;22,93%;18,52%;4,98%;5,55%;4,89%;3,38%;3,67%
10820102;Prästslätten;34,43%;22,33%;17,35%;4,36%;4,72%;5,60%;4,36%;4,89%
10820103;Stadsporten;33,09%;26,88%;19,37%;6,21%;3,15%;3,71%;2,78%;3,34%
10820104;Torget;28,77%;27,94%;19,24%;6,94%;3,70%;3,98%;3,33%;4,63%
10820105;Österslätt;32,43%;23,68%;19,68%;7,24%;4,76%;3,68%;3,46%;3,78%
10820106;Tubbaryd;33,94%;25,83%;17,82%;5,55%;3,31%;3,52%;5,23%;3,42%
10820107;Skogsborg;30,00%;21,67%;22,25%;5,39%;5,29%;3,63%;6,08%;4,51%
10820108;Vägga;31,15%;21,37%;22,61%;3,87%;5,40%;5,84%;5,25%;3,94%
10820310;Hällaryd;25,68%;32,41%;16,24%;3,33%;7,91%;6,73%;3,75%;2,78%
10820512;Horsaryd;30,55%;33,78%;16,69%;4,10%;4,24%;5,11%;2,96%;1,75%
10820513;Korpadalen;32,43%;23,23%;23,40%;2,64%;4,60%;6,81%;2,81%;2,98%
10820514;Froarp;30,34%;31,95%;17,72%;3,76%;5,10%;5,30%;2,89%;2,62%
10820515;Centrala Asarum;39,52%;29,12%;15,68%;4,08%;3,44%;3,36%;2,56%;1,68%
10820517;Svängsta nordöst;32,49%;33,01%;13,15%;4,97%;7,32%;4,53%;1,57%;2,00%
10820518;Svängsta sydväst;24,01%;43,25%;13,14%;4,30%;3,23%;5,97%;2,39%;2,27%
10820619;Mörrum västra;29,66%;34,41%;14,78%;5,36%;3,85%;6,78%;2,13%;1,62%
10820620;Mörrum östra;36,37%;32,57%;15,84%;3,36%;3,81%;3,19%;1,68%;2,92%
10820621;Gustavstorp;29,69%;37,41%;13,72%;3,97%;3,86%;5,36%;2,25%;2,57%
Karlskrona;Dummy;31,87%;24,36%;19,02%;4,57%;5,39%;5,90%;3,39%;4,25%
10800100;Uppsamlingsdistrikt;26,37%;19,51%;25,55%;4,95%;7,14%;7,14%;4,95%;3,30%
